ID_agent;Nom_agent;Prenom_agent;Telephone_agent;Email_agent;Adressepostal_agent;Salaire;Date_poste;ID_ville;ID_poste;ID_agence
1;Nom1;Prenom1;0637527962;prenom1.nom1@data-x.com;26 rue numero49;5171;1995-09-22;25;1;1
2;Nom2;Prenom2;0642562479;prenom2.nom2@data-x.com;10 rue numero41;2543;2002-03-11;19;2;1
3;Nom3;Prenom3;0609206006;prenom3.nom3@data-x.com;27 rue numero38;3822;1995-11-23;47;3;1
4;Nom4;Prenom4;0691337378;prenom4.nom4@data-x.com;0 rue numero51;3367;1995-11-03;52;1;2
5;Nom5;Prenom5;0638631132;prenom5.nom5@data-x.com;44 rue numero39;4741;2013-01-21;44;2;2
6;Nom6;Prenom6;0668373933;prenom6.nom6@data-x.com;69 rue numero62;4362;2003-06-01;26;3;2
7;Nom7;Prenom7;0669543950;prenom7.nom7@data-x.com;67 rue numero86;3425;2016-07-26;27;1;3
8;Nom8;Prenom8;0693973629;prenom8.nom8@data-x.com;8 rue numero82;2506;1993-03-13;51;2;3
9;Nom9;Prenom9;0648444773;prenom9.nom9@data-x.com;85 rue numero88;4316;1990-03-07;32;3;3
10;Nom10;Prenom10;0668920210;prenom10.nom10@data-x.com;71 rue numero52;3166;2013-07-05;1;1;4
11;Nom11;Prenom11;0614405441;prenom11.nom11@data-x.com;4 rue numero17;3756;1996-12-07;36;2;4
12;Nom12;Prenom12;0639199860;prenom12.nom12@data-x.com;60 rue numero51;5436;2014-01-28;4;3;4
13;Nom13;Prenom13;0630093504;prenom13.nom13@data-x.com;97 rue numero51;4960;2020-03-08;28;1;5
14;Nom14;Prenom14;0607212957;prenom14.nom14@data-x.com;43 rue numero12;4118;2001-11-02;19;2;5
15;Nom15;Prenom15;0693865322;prenom15.nom15@data-x.com;48 rue numero0;3701;2003-12-04;7;3;5
16;Nom16;Prenom16;0605773039;prenom16.nom16@data-x.com;77 rue numero90;4991;1993-12-09;3;1;6
17;Nom17;Prenom17;0682693887;prenom17.nom17@data-x.com;67 rue numero62;4845;2003-08-20;47;2;6
18;Nom18;Prenom18;0662959044;prenom18.nom18@data-x.com;40 rue numero12;2654;1997-04-09;35;3;6
19;Nom19;Prenom19;0699158499;prenom19.nom19@data-x.com;82 rue numero21;3478;1994-03-21;9;1;7
20;Nom20;Prenom20;0682779552;prenom20.nom20@data-x.com;35 rue numero96;3650;2011-10-15;27;2;7
21;Nom21;Prenom21;0698458919;prenom21.nom21@data-x.com;42 rue numero60;5790;2002-01-06;8;3;7
22;Nom22;Prenom22;0675211268;prenom22.nom22@data-x.com;93 rue numero36;2882;1994-06-15;23;1;8
23;Nom23;Prenom23;0665034837;prenom23.nom23@data-x.com;9 rue numero38;4354;1998-01-28;1;2;8
24;Nom24;Prenom24;0606586532;prenom24.nom24@data-x.com;73 rue numero80;3595;2012-07-13;25;3;8
25;Nom25;Prenom25;0698489542;prenom25.nom25@data-x.com;2 rue numero69;4449;2019-08-07;9;1;9
26;Nom26;Prenom26;0674021542;prenom26.nom26@data-x.com;19 rue numero22;3266;2007-12-04;21;2;9
27;Nom27;Prenom27;0619437119;prenom27.nom27@data-x.com;93 rue numero53;5596;1997-01-08;27;3;9
28;Nom28;Prenom28;0606971023;prenom28.nom28@data-x.com;39 rue numero86;4353;2009-06-07;7;1;10
29;Nom29;Prenom29;0616556461;prenom29.nom29@data-x.com;69 rue numero33;3140;2017-05-07;3;2;10
30;Nom30;Prenom30;0677380741;prenom30.nom30@data-x.com;73 rue numero15;2773;2011-06-15;49;3;10
31;Nom31;Prenom31;0634954207;prenom31.nom31@data-x.com;61 rue numero29;2611;2021-07-04;32;1;11
32;Nom32;Prenom32;0692732391;prenom32.nom32@data-x.com;1 rue numero51;3838;2001-04-22;36;2;11
33;Nom33;Prenom33;0609481962;prenom33.nom33@data-x.com;70 rue numero68;3773;2007-11-21;27;3;11
34;Nom34;Prenom34;0658943517;prenom34.nom34@data-x.com;97 rue numero7;3679;2018-08-14;35;1;12
35;Nom35;Prenom35;0635594570;prenom35.nom35@data-x.com;77 rue numero56;3174;2007-02-23;23;2;12
36;Nom36;Prenom36;0692472461;prenom36.nom36@data-x.com;96 rue numero29;3306;1999-03-03;50;3;12
37;Nom37;Prenom37;0684177008;prenom37.nom37@data-x.com;9 rue numero91;4728;1990-05-18;10;1;13
38;Nom38;Prenom38;0616741616;prenom38.nom38@data-x.com;38 rue numero79;2842;2022-08-13;51;2;13
